index escape_code
65519, '\uffef' START
65531, '\ufffb'length=12 END
65534, '\ufffe' START
65535, '\uffff'length=1 END
65548, '\U0001000c' START
65548, '\U0001000c'length=0 END
65575, '\U00010027' START
65575, '\U00010027'length=0 END
65595, '\U0001003b' START
65595, '\U0001003b'length=0 END
65598, '\U0001003e' START
65598, '\U0001003e'length=0 END
65614, '\U0001004e' START
65615, '\U0001004f'length=1 END
65630, '\U0001005e' START
65663, '\U0001007f'length=33 END
65787, '\U000100fb' START
65791, '\U000100ff'length=4 END
65795, '\U00010103' START
65798, '\U00010106'length=3 END
65844, '\U00010134' START
65846, '\U00010136'length=2 END
65935, '\U0001018f' START
65935, '\U0001018f'length=0 END
65949, '\U0001019d' START
65951, '\U0001019f'length=2 END
65953, '\U000101a1' START
65999, '\U000101cf'length=46 END
66046, '\U000101fe' START
66175, '\U0001027f'length=129 END
66205, '\U0001029d' START
66207, '\U0001029f'length=2 END
66257, '\U000102d1' START
66271, '\U000102df'length=14 END
66300, '\U000102fc' START
66303, '\U000102ff'length=3 END
66340, '\U00010324' START
66348, '\U0001032c'length=8 END
66379, '\U0001034b' START
66383, '\U0001034f'length=4 END
66427, '\U0001037b' START
66431, '\U0001037f'length=4 END
66462, '\U0001039e' START
66462, '\U0001039e'length=0 END
66500, '\U000103c4' START
66503, '\U000103c7'length=3 END
66518, '\U000103d6' START
66559, '\U000103ff'length=41 END
66718, '\U0001049e' START
66719, '\U0001049f'length=1 END
66730, '\U000104aa' START
66735, '\U000104af'length=5 END
66772, '\U000104d4' START
66775, '\U000104d7'length=3 END
66812, '\U000104fc' START
66815, '\U000104ff'length=3 END
66856, '\U00010528' START
66863, '\U0001052f'length=7 END
66916, '\U00010564' START
66926, '\U0001056e'length=10 END
66928, '\U00010570' START
67071, '\U000105ff'length=143 END
67383, '\U00010737' START
67391, '\U0001073f'length=8 END
67414, '\U00010756' START
67423, '\U0001075f'length=9 END
67432, '\U00010768' START
67583, '\U000107ff'length=151 END
67590, '\U00010806' START
67591, '\U00010807'length=1 END
67593, '\U00010809' START
67593, '\U00010809'length=0 END
67638, '\U00010836' START
67638, '\U00010836'length=0 END
67641, '\U00010839' START
67643, '\U0001083b'length=2 END
67645, '\U0001083d' START
67646, '\U0001083e'length=1 END
67670, '\U00010856' START
67670, '\U00010856'length=0 END
67743, '\U0001089f' START
67750, '\U000108a6'length=7 END
67760, '\U000108b0' START
67807, '\U000108df'length=47 END
67827, '\U000108f3' START
67827, '\U000108f3'length=0 END
67830, '\U000108f6' START
67834, '\U000108fa'length=4 END
67868, '\U0001091c' START
67870, '\U0001091e'length=2 END
67898, '\U0001093a' START
67902, '\U0001093e'length=4 END
67904, '\U00010940' START
67967, '\U0001097f'length=63 END
68024, '\U000109b8' START
68027, '\U000109bb'length=3 END
68048, '\U000109d0' START
68049, '\U000109d1'length=1 END
68100, '\U00010a04' START
68100, '\U00010a04'length=0 END
68103, '\U00010a07' START
68107, '\U00010a0b'length=4 END
68116, '\U00010a14' START
68116, '\U00010a14'length=0 END
68120, '\U00010a18' START
68120, '\U00010a18'length=0 END
68150, '\U00010a36' START
68151, '\U00010a37'length=1 END
68155, '\U00010a3b' START
68158, '\U00010a3e'length=3 END
68169, '\U00010a49' START
68175, '\U00010a4f'length=6 END
68185, '\U00010a59' START
68191, '\U00010a5f'length=6 END
68256, '\U00010aa0' START
68287, '\U00010abf'length=31 END
68327, '\U00010ae7' START
68330, '\U00010aea'length=3 END
68343, '\U00010af7' START
68351, '\U00010aff'length=8 END
68406, '\U00010b36' START
68408, '\U00010b38'length=2 END
68438, '\U00010b56' START
68439, '\U00010b57'length=1 END
68467, '\U00010b73' START
68471, '\U00010b77'length=4 END
68498, '\U00010b92' START
68504, '\U00010b98'length=6 END
68509, '\U00010b9d' START
68520, '\U00010ba8'length=11 END
68528, '\U00010bb0' START
68607, '\U00010bff'length=79 END
68681, '\U00010c49' START
68735, '\U00010c7f'length=54 END
68787, '\U00010cb3' START
68799, '\U00010cbf'length=12 END
68851, '\U00010cf3' START
68857, '\U00010cf9'length=6 END
68904, '\U00010d28' START
68911, '\U00010d2f'length=7 END
68922, '\U00010d3a' START
69215, '\U00010e5f'length=293 END
69247, '\U00010e7f' START
69247, '\U00010e7f'length=0 END
69290, '\U00010eaa' START
69290, '\U00010eaa'length=0 END
69294, '\U00010eae' START
69295, '\U00010eaf'length=1 END
69298, '\U00010eb2' START
69375, '\U00010eff'length=77 END
69416, '\U00010f28' START
69423, '\U00010f2f'length=7 END
69466, '\U00010f5a' START
69551, '\U00010faf'length=85 END
69580, '\U00010fcc' START
69599, '\U00010fdf'length=19 END
69623, '\U00010ff7' START
69631, '\U00010fff'length=8 END
69710, '\U0001104e' START
69713, '\U00011051'length=3 END
69744, '\U00011070' START
69758, '\U0001107e'length=14 END
69821, '\U000110bd' START
69821, '\U000110bd'length=0 END
69826, '\U000110c2' START
69839, '\U000110cf'length=13 END
69865, '\U000110e9' START
69871, '\U000110ef'length=6 END
69882, '\U000110fa' START
69887, '\U000110ff'length=5 END
69941, '\U00011135' START
69941, '\U00011135'length=0 END
69960, '\U00011148' START
69967, '\U0001114f'length=7 END
70007, '\U00011177' START
70015, '\U0001117f'length=8 END
70112, '\U000111e0' START
70112, '\U000111e0'length=0 END
70133, '\U000111f5' START
70143, '\U000111ff'length=10 END
70162, '\U00011212' START
70162, '\U00011212'length=0 END
70207, '\U0001123f' START
70271, '\U0001127f'length=64 END
70279, '\U00011287' START
70279, '\U00011287'length=0 END
70281, '\U00011289' START
70281, '\U00011289'length=0 END
70286, '\U0001128e' START
70286, '\U0001128e'length=0 END
70302, '\U0001129e' START
70302, '\U0001129e'length=0 END
70314, '\U000112aa' START
70319, '\U000112af'length=5 END
70379, '\U000112eb' START
70383, '\U000112ef'length=4 END
70394, '\U000112fa' START
70399, '\U000112ff'length=5 END
70404, '\U00011304' START
70404, '\U00011304'length=0 END
70413, '\U0001130d' START
70414, '\U0001130e'length=1 END
70417, '\U00011311' START
70418, '\U00011312'length=1 END
70441, '\U00011329' START
70441, '\U00011329'length=0 END
70449, '\U00011331' START
70449, '\U00011331'length=0 END
70452, '\U00011334' START
70452, '\U00011334'length=0 END
70458, '\U0001133a' START
70458, '\U0001133a'length=0 END
70469, '\U00011345' START
70470, '\U00011346'length=1 END
70473, '\U00011349' START
70474, '\U0001134a'length=1 END
70478, '\U0001134e' START
70479, '\U0001134f'length=1 END
70481, '\U00011351' START
70486, '\U00011356'length=5 END
70488, '\U00011358' START
70492, '\U0001135c'length=4 END
70500, '\U00011364' START
70501, '\U00011365'length=1 END
70509, '\U0001136d' START
70511, '\U0001136f'length=2 END
70517, '\U00011375' START
70655, '\U000113ff'length=138 END
70748, '\U0001145c' START
70748, '\U0001145c'length=0 END
70754, '\U00011462' START
70783, '\U0001147f'length=29 END
70856, '\U000114c8' START
70863, '\U000114cf'length=7 END
70874, '\U000114da' START
71039, '\U0001157f'length=165 END
71094, '\U000115b6' START
71095, '\U000115b7'length=1 END
71134, '\U000115de' START
71167, '\U000115ff'length=33 END
71237, '\U00011645' START
71247, '\U0001164f'length=10 END
71258, '\U0001165a' START
71263, '\U0001165f'length=5 END
71277, '\U0001166d' START
71295, '\U0001167f'length=18 END
71353, '\U000116b9' START
71359, '\U000116bf'length=6 END
71370, '\U000116ca' START
71423, '\U000116ff'length=53 END
71451, '\U0001171b' START
71452, '\U0001171c'length=1 END
71468, '\U0001172c' START
71471, '\U0001172f'length=3 END
71488, '\U00011740' START
71679, '\U000117ff'length=191 END
71740, '\U0001183c' START
71839, '\U0001189f'length=99 END
71923, '\U000118f3' START
71934, '\U000118fe'length=11 END
71943, '\U00011907' START
71944, '\U00011908'length=1 END
71946, '\U0001190a' START
71947, '\U0001190b'length=1 END
71956, '\U00011914' START
71956, '\U00011914'length=0 END
71959, '\U00011917' START
71959, '\U00011917'length=0 END
71990, '\U00011936' START
71990, '\U00011936'length=0 END
71993, '\U00011939' START
71994, '\U0001193a'length=1 END
72007, '\U00011947' START
72015, '\U0001194f'length=8 END
72026, '\U0001195a' START
72095, '\U0001199f'length=69 END
72104, '\U000119a8' START
72105, '\U000119a9'length=1 END
72152, '\U000119d8' START
